name,group,typology,Lx,Ly,Lz,zc,m,V,rho,Axy,source
Audi Q7 2012,V2,SUV,5.09,2.00,1.77,0.20,2400,18.02,133.2,10.17,https://www.carsguide.com.au/audi/q7/car-dimensions/2012
BMW 3 Series Sedan 325iX 1987,V2,sedan,4.33,1.66,1.40,0.20,1280,10.05,127.3,7.18,https://www.auto-data.net/en/bmw-3-series-sedan-e30-facelift-1987-325ix-170hp-automatic-21188
Fiat 500,V2,subcompact,3.57,1.63,1.49,0.19,1073,8.67,123.8,5.82,https://www.dimensions.com/element/fiat-500
Ford Festiva 1992,V2,urban,3.62,1.61,1.46,0.22,815,8.51,95.8,5.83,https://www.carsguide.com.au/ford/festiva/car-dimensions/1992
Honda Accord 2008,V2,sedan,4.95,1.85,1.48,0.24,1615,13.46,120.0,9.12,https://www.carsguide.com.au/honda/accord/car-dimensions/2008
Mini Cooper,V2,subcompact,3.73,1.73,1.42,0.12,1182,9.16,129.0,6.45,https://www.dimensions.com/element/mini-cooper-2014
Nissan Patrol GR 2022,V2,SUV,5.17,2.00,1.94,0.32,2800,20.06,139.6,10.34,https://www.carsguide.com.au/nissan/patrol/car-dimensions/2022
Opel Astra K 1.5d 2019,V2,hatchback,4.37,1.81,1.49,0.22,1320,11.74,112.4,7.91,https://www.auto-data.net/en/opel-astra-k-facelift-2019-1.5d-122hp-automatic-37663 
Opel Vectra B CC 2.5i V6 1995,V2,sedan,4.50,1.71,1.43,0.21,1370,10.93,125.3,7.67,https://www.auto-data.net/en/opel-vectra-b-cc-2.5i-v6-170hp-automatic-27063 
Renault Laguna Grandtour 2.2 D 1995,V2,station wagon,4.62,1.75,1.45,0.21,1485,11.72,126.7,8.09,https://www.auto-data.net/en/renault-laguna-grandtour-2.2-d-83hp-10353 
Sado 550,V2,compact,2.37,1.35,1.40,0.22,450,4.46,100.9,3.18,https://auta5p.eu/lang/en/katalog/auto.php?idf=Sado-550-25058
Seat Ibiza V 1.6 TDI 2018,V2,hatchback,4.06,1.78,1.44,0.21,1183,10.43,113.4,7.23,https://www.auto-data.net/en/seat-ibiza-v-1.6-tdi-115hp-start-stop-33871 
Seat Tarraco 2.0 TSI 4Drive 2021,V2,SUV,4.74,1.84,1.67,0.24,1698,14.58,116.5,8.71,https://www.auto-data.net/en/seat-tarraco-2.0-tsi-245hp-4drive-dsg-7-seat-42460 
Seat Toledo IV (NH) 1.6 TDI 2015,V2,hatchback,4.48,1.71,1.46,0.21,1280,11.17,114.6,7.65,https://www.auto-data.net/en/seat-toledo-iv-nh-1.6-tdi-115hp-24387 
Smart EQ Fortwo,V2,car,2.70,1.66,1.56,0.13,1095,6.97,157.1,4.48,https://www.evspecifications.com/en/model/9119d7
Toyota Yaris 2006,V2,sedan,4.30,1.69,1.46,0.15,1000,10.61,94.3,7.27,https://toyota.dreamhosters.com/pages/yaris_sedan/spec.php
Volkswagen Beetle Type 1,V2,subcompact,4.08,1.54,1.55,0.21,800,9.74,82.1,6.28,https://www.dimensions.com/element/volkswagen-beetle-type-1
Volkswagen Golf 2019,V2,hatchback,4.26,1.80,1.45,0.21,1261,11.12,113.4,7.66,https://www.carsguide.com.au/volkswagen/golf/car-dimensions/2019
Volkswagen Passat Variant 2.0 TSI OPF 2020,V2,station wagon,4.78,1.83,1.52,0.22,1689,13.27,127.3,8.76,https://www.auto-data.net/en/volkswagen-passat-variant-b8-facelift-2019-2.0-tsi-opf-280hp-4motion-dsg-45729 
Volkswagen Polo VI 1.0 EVO 2021,V2,urban,4.07,1.75,1.45,0.21,1132,10.35,109.4,7.13,https://www.auto-data.net/en/volkswagen-polo-vi-facelift-2021-1.0-evo-80hp-45894 
Volkswagen Tiguan II 2.0 TSI 2020,V2,SUV,4.51,1.84,1.68,0.25,1613,13.96,115.5,8.29,https://www.auto-data.net/en/volkswagen-tiguan-ii-facelift-2020-2.0-tsi-245hp-4motion-dsg-44395 
Volvo v70,V2,station wagon,4.71,1.80,1.49,0.31,1850,12.66,146.1,8.49,https://www.the-blueprints.com/modules/vectordrawings/preview-wm/1999_volvo_v70.jpg
Iveco Daily 2018,V3,van,7.23,2.01,2.90,0.42,2422,42.14,57.5,14.53,https://www.carsguide.com.au/iveco/daily/car-dimensions/2018
Mercedes-Benz Vito Tourer,V3,minivan,4.90,2.25,1.91,0.12,1756,21.03,83.5,11.01,https://www.mercedes-benz-mena.com/vans/en/vito/tourer/technical-data
Volkswagen Type 2 Microbus,V3,minivan,4.28,1.72,1.94,0.13,1047,14.28,73.3,7.36,https://www.dimensions.com/element/volkswagen-type-2-microbus
Bailey Alicanto Grande Estoril,V4,caravan,7.38,2.45,2.61,0.27,1624,47.11,34.5,18.08,https://www.mmleisure.co.uk/det/424/Bailey-Alicanto-Grande-Estoril/
Carado V337,V4,recreation vehicle,6.65,2.14,2.71,0.32,3500,38.57,90.8,14.23,https://www.motorhomesforsale.co.nz/motorhomes-for-sale/2020-carado-v337
Hymer B-Class ML I 780,V4,recreation vehicle,7.89,2.35,2.96,0.29,3480,54.88,63.4,18.54,https://www.hymer.com/de/en/models/hymer-b-class-masterline
Karmann Gipsy,V4,recreation vehicle,4.90,1.85,2.70,0.26,2390,24.48,97.6,9.07,https://www.dimensions.com/element/karmann-gipsy
Sterling Continental 580 2016,V4,caravan,7.50,2.26,2.67,0.28,1690,45.26,37.3,16.95,https://www.gocaravanning.com/caravan-specs/13883/Sterling-Continental-580-2016.html
Swift Sprite Alpine 2,V4,caravan,6.05,2.25,2.59,0.26,1218,35.26,34.5,13.61,https://www.leisureworldgroup.com/caravans/swift/sprite-alpine-2-n113909
Alexander Dennis Enviro 200,V5,city bus,11.80,2.44,2.86,0.17,14400,82.35,174.9,28.79,https://en.wikipedia.org/wiki/Alexander_Dennis_Enviro200 
Alexander Dennis Enviro 300,V5,city bus,12.27,2.55,3.00,0.18,16200,93.83,172.7,31.28,https://www.alexander-dennis.com/media/69766/adl-scania-cbg-brochure.pdf 
Alexander Dennis Enviro 400,V5,city bus,11.40,2.55,4.30,0.17,11000,125.00,88.0,29.07,https://en.wikipedia.org/wiki/Alexander_Dennis_Enviro400 
Alexander Dennis Enviro 500,V5,city bus,12.93,2.52,4.12,0.26,16400,134.09,122.3,32.59,https://www.alexander-dennis.com/media/71946/enviro500-north-america-spec.pdf 
Axor 1823K/36 4x2 Tipper,V5,truck,6.56,2.50,3.00,0.31,5801,49.15,118.0,16.39,https://www.focusontransport.co.za/wp-content/uploads/2018/02/Mercedes-Benz-Truck-Specifications.pdf 
Axor 1828/60 4x2 F/C,V5,truck,11.01,2.49,2.95,0.30,6111,80.99,75.4,27.45,https://www.focusontransport.co.za/wp-content/uploads/2018/02/Mercedes-Benz-Truck-Specifications.pdf 
Axor 1835LS/36 4x2 T/T,V5,truck,5.82,2.50,3.11,0.32,6691,45.20,148.0,14.54,https://www.focusontransport.co.za/wp-content/uploads/2018/02/Mercedes-Benz-Truck-Specifications.pdf 
Axor 2528L/51 6x2 F/C,V5,truck,10.41,2.49,2.94,0.30,7278,76.29,95.4,25.95,https://www.focusontransport.co.za/wp-content/uploads/2018/02/Mercedes-Benz-Truck-Specifications.pdf 
Axor 2628/45 6x4 F/C,V5,truck,9.46,2.49,3.01,0.31,8121,70.88,114.6,23.58,https://www.focusontransport.co.za/wp-content/uploads/2018/02/Mercedes-Benz-Truck-Specifications.pdf 
Axor 2628B/33 6x4 Mix/ Tipper,V5,truck,7.71,2.49,2.98,0.30,7300,57.12,127.8,19.15,https://www.focusontransport.co.za/wp-content/uploads/2018/02/Mercedes-Benz-Truck-Specifications.pdf 
Axor 2628L/57 6x2 F/C,V5,truck,10.89,2.50,2.94,0.30,6747,80.12,84.2,27.23,https://www.focusontransport.co.za/wp-content/uploads/2018/02/Mercedes-Benz-Truck-Specifications.pdf 
Renault Citybus 2005,V5,city bus,9.23,2.50,3.37,0.32,11450,77.62,147.5,23.07,https://www.emtvalencia.es/ciudadano/index.php?option=com_content&view=article&id=146&Itemid=151&lang=en
Renault Kerax 440.35T DXi 6X4 HD,V5,truck,7.16,2.53,3.20,0.29,9920,57.97,171.1,18.11,https://pdf4pro.com/view/renault-kerax-440-35t-dxi-6x4-hd-42cd0d.html
Scania Irizar i8 12.4m,V5,coach,12.40,2.55,3.98,0.39,12180,125.85,96.8,31.62,https://www.scania.com/content/dam/www/market/master/products/buses-and-coaches/pdfs/product-brochure-scania-irizar-i6-i6s-i8.pdf 
Scania K,V5,coach,18.10,2.50,4.40,0.39,25000,199.10,125.6,45.25,https://en.wikipedia.org/wiki/Scania_K_series#Scania_K_EB
Scania Touring HD 13.7m,V5,coach,13.70,2.55,3.80,0.35,25000,132.75,188.3,34.94,https://www.scania.com/content/dam/scanianoe/market/uk/brochures/bus-and-coach/spec-sheets/spec-sheet-touring-hd-13-7-m.pdf 
Tata LPT 1109,V5,6-wheeler truck with trailer,6.64,2.33,2.42,0.23,5425,37.38,145.1,15.45,https://dir.indiamart.com/items/tata-lpt-1109-ex-truck-6-wheeler-11-99-tonne-gvw-s105828.html
Tata LPT 1109 HEx2,V5,truck,8.45,2.33,2.42,0.23,3685,47.54,77.5,19.65,https://dir.indiamart.com/items/tata-lpt-1109-hex2-truck-6-wheeler-12-99-tonne-gvw-s105812.html
Tata LPT 2818 Cre 6 x 2,V5,truck,9.01,2.44,2.94,0.25,8000,64.70,123.6,21.98,https://dir.indiamart.com/items/tata-lpt-2818-cre-6-x-2-truck-28-tonne-gvw-s105792.html
Tata LPT 407 EX2 CNG,V5,4-wheeler truck with trailer,5.96,2.20,2.35,0.22,3310,30.76,107.6,13.09,https://dir.indiamart.com/items/tata-lpt-407-ex2-cng-truck-7-25-tonne-gvw-s105784.html
Tata T.11 Ultra BS6 4x2,V5,truck,9.47,2.21,2.50,0.19,3375,52.18,64.7,20.87,https://www.truckexpert.in/2022/08/tata-ultra-t11-bs6-truck.html
Tata T.12 Ultra Day BS6,V5,truck,8.31,2.26,2.93,0.19,3550,54.87,64.7,18.73,https://www.indiamart.com/proddetail/tata-t-12-ultra-day-bs6-truck-22423305848.html?pos=1&kwd=truck&tags=A|PL|||7533.29||product
